Gender,ProductCategoryName,TotalSales
M,Home Appliances,173182387.3705
S,Home Appliances,149669532.5885
M,TV and Video,126785644.7363
M,Cameras and camcorders ,123044181.1376
S,TV and Video,108609061.8251
S,Cameras and camcorders ,106977168.0275
M,Computers,46807806.6085
S,Computers,43638523.134
M,Cell phones,18093438.3027
S,Cell phones,16968392.7114
M,Audio,7157699.4079
S,Audio,6067580.2322
M,"Music, Movies and Audio Books",3915946.3641
S,"Music, Movies and Audio Books",3911937.521
M,Games and Toys,2481877.4609
S,Games and Toys,2111840.7076
